"id","case_number","team","date_assigned","date_completed","date_presented","days_number","days_30_or_less","days_60_or_less","90_days_or_less","120_days_or_less","changes","pd_division","crb_viewed_bwc","complainant_race","complainant_gender"
"20-01","2019-0187","7.0","2019-06-06","2019-06-27","2019-07-09","21.0","YES","YES","YES","YES","NO","NORTHERN","YES","W","M"
"20-02","2018-0122","3.0","2019-04-30","2019-07-02","2019-07-09","63.0","NO","NO","YES","YES","NO","CENTRAL","YES","W","M"
"20-03","2019-0154","6.0","2019-06-04","2019-07-16","2019-07-23","42.0","NO","YES","YES","YES","NO","CENTRAL","YES","B","M"
"20-05","2018-0183","1.0","2019-04-17","2019-07-24","2019-08-13","98.0","NO","NO","NO","YES","NO","NORTHERN","YES","W","M"
"20-06","2017-0916","1.0","2019-03-07","2019-08-05","2019-08-13","151.0","NO","NO","NO","NO","YES","EASTERN","YES","W","M"
"20-07","2018-0795","5.0","2019-05-01","2019-07-08","2019-08-13","68.0","NO","NO","YES","YES","NO","SOUTHEASTERN","YES","H","M"
"20-08","2018-0382","4.0","2019-05-01","2019-07-08","2019-08-27","68.0","NO","NO","YES","YES","NO","MID-CITY","YES","O","M"
"20-09","2018-0681","2.0","2019-03-14","2019-08-08","2019-08-13","147.0","NO","NO","YES","YES","NO","MID-CITY","YES","W","F"
"20-10","2018-0698","7.0","2019-09-18","2019-10-02","2019-10-22","14.0","YES","YES","YES","YES","NO","CENTRAL","YES","B","M"
"20-11","2019-0067","3.0","2019-07-22","2019-10-15","2019-10-22","85.0","NO","NO","YES","YES","NO","WESTERN","YES","UNK","M"
"20-12","2018-0633","7.0","2019-08-20","2019-09-12","2019-11-12","23.0","YES","YES","YES","YES","NO","CENTRAL ","YES","W","M"
"20-13","2019-0032","6.0","2019-09-05","2019-11-05","2019-11-12","61.0","NO","NO","YES","YES","YES","CENTRAL","YES","H","M"
"20-14","2019-0479","3.0","2019-09-24","2019-10-31","2019-11-12","37.0","NO","YES","YES","YES","NO","MID-CITY","YES","B","M"
"20-15","2019-0365","3.0","2019-09-04","2019-10-15","2019-11-12","41.0","NO","YES","YES","YES","NO","SOUTHEASTERN","YES","H","F"
"20-16","2016-0301","1.0","2019-08-21","2019-11-06","2019-12-10","77.0","NO","NO","YES","YES","YES","SOUTHEASTERN","NO","H","M"
"20-17","2019-0373","4.0","2019-09-05","2019-11-15","2019-11-26","71.0","NO","NO","YES","YES","YES","NORTHERN","YES","W","F"
"20-18","2018-0689","1.0","2019-05-09","2019-10-01","2019-10-08","145.0","NO","NO","NO","NO","NO","NORTHWESTERN","YES","B","F"
"20-19","2019-0361","4.0","2019-07-22","2020-01-23","2020-01-28","185.0","NO","NO","NO","NO","YES","SOUTHEASTERN","YES","B","M"
"20-20","2019-0086","2.0","2019-09-03","2019-12-30","2020-01-14","118.0","NO","NO","NO","YES","NO","WESTERN","YES","W","F"
"20-21","2018-0564","5.0","2019-05-20","2020-01-03","2020-01-14","228.0","NO","NO","NO","NO","YES","GST- LA MESA","YES","B","F"
"20-22","2019-0356","6.0","2019-11-19","2019-12-18","2020-01-14","29.0","YES","NO","NO","NO","NO","MID-CITY","YES","B","M"
"20-23","2019-0209","4.0","2019-06-26","2020-01-22","2020-01-28","210.0","NO","NO","NO","NO","NO","CENTRAL","YES","B","F"
"20-24","2018-0766","4.0","2019-06-26","2020-01-22","2020-01-28","210.0","NO","NO","NO","NO","NO","NORTHERN","YES","B","F"
"20-25","2019-0066","4.0","2019-10-01","2020-01-23","2020-02-11","114.0","NO","NO","NO","YES","YES","CENTRAL","YES","H","M"
"20-26","2019-0500","7.0","2019-11-26","2020-01-13","2020-02-11","48.0","NO","YES","YES","YES","NO","MID-CITY","YES","W","M"
"20-27","2019-0015","2.0","2019-07-22","2019-10-17","2020-02-25","87.0","NO","YES","YES","YES","NO","CENTRAL","YES","B","M"
"20-28","2019-0549","7.0","2019-12-30","2020-01-29","2020-02-25","30.0","YES","YES","YES","YES","NO","EASTERN","NO","B","F"
"20-29","2019-0130","1.0","2019-11-05","2020-02-04","2020-03-10","91.0","N O","NO","YES","YES","NO","SOUTHEASTERN","YES","W","M"
